"","institution","state","plan","city","sector","groffer","hbcu","hospital","locale","c18ugprf","f1systyp","countynm","Size","Application","Enrollment","Endowment","Total_Expense","Total_Revenue","Total_Liabilities","Tuition","Total_Asset","Type","Gift","calsys","slo","dstnugc","dstngc","distcrs","disabpct","alloncam","room","roomcap","board","indistrictug","instateug","outstateug","indistrictg","instateg","outstateg","eftotlt_1","eftotlt_2","eftotlt_12","eftotlt_21","eftotlt_22","eftotlt_32","eftotlt_41","eftotlt_42","eftotlt_52","number_locations","internationals","efdeexc_1","efdeexc_2","efdeexc_3","efdeexc_12","efdesom_1","efdesom_2","efdesom_3","efdesom_12","rrptct","stufacr","eaptot_10000","eaptot_10050","eaptot_27000","eaptot_30000","eaptot_37000","eaptot_10010","eaptot_10020","eaptot_10030","eappt_10000","eappt_10050","eappt_27000","eappt_30000","eappt_37000","eappt_10010","eappt_10020","eappt_10030","state.cases","state.deaths","county.cases","county.deaths","sainstt_7","sa_9mct_7","satotlt_7","sa09mct_7","sa10mct_7","sa11mct_7","sa12mct_7","saoutlt_7","sa09mot_7","sa10mot_7","sa11mot_7","sa12mot_7","saeq9ot_7","saeq9at_7","sa09mat_7","sa10mat_7","sa11mat_7","sa12mat_7","sainstt_1","sa_9mct_1","satotlt_1","sa09mct_1","sa10mct_1","sa11mct_1","sa12mct_1","saoutlt_1","sa09mot_1","sa10mot_1","sa11mot_1","sa12mot_1","saeq9ot_1","saeq9at_1","sa09mat_1","sa10mat_1","sa11mat_1","sa12mat_1","sainstt_2","sa_9mct_2","satotlt_2","sa09mct_2","sa10mct_2","sa11mct_2","sa12mct_2","saoutlt_2","sa09mot_2","sa10mot_2","sa11mot_2","sa12mot_2","saeq9ot_2","saeq9at_2","sa09mat_2","sa10mat_2","sa11mat_2","sa12mat_2","sainstt_3","sa_9mct_3","satotlt_3","sa09mct_3","sa10mct_3","sa11mct_3","sa12mct_3","saoutlt_3","sa09mot_3","sa10mot_3","sa11mot_3","sa12mot_3","saeq9ot_3","saeq9at_3","sa09mat_3","sa10mat_3","sa11mat_3","sa12mat_3","sainstt_4","sa_9mct_4","satotlt_4","sa09mct_4","sa10mct_4","sa11mct_4","sa12mct_4","saoutlt_4","sa09mot_4","sa10mot_4","sa11mot_4","sa12mot_4","saeq9ot_4","saeq9at_4","sa09mat_4","sa10mat_4","sa11mat_4","sa12mat_4","sainstt_5","sa_9mct_5","satotlt_5","sa09mct_5","sa10mct_5","sa11mct_5","sa12mct_5","saoutlt_5","sa09mot_5","sa10mot_5","sa11mot_5","sa12mot_5","saeq9ot_5","saeq9at_5","sa09mat_5","sa10mat_5","sa11mat_5","sa12mat_5","sainstt_6","sa_9mct_6","satotlt_6","sa09mct_6","sa10mct_6","sa11mct_6","sa12mct_6","saoutlt_6","sa09mot_6","sa10mot_6","sa11mot_6","sa12mot_6","saeq9ot_6","saeq9at_6","sa09mat_6","sa10mat_6","sa11mat_6","sa12mat_6","sanin01","sanin02","sanin03","sanin04","sanin05","sanin06","sanin07","sanin08","sanin09","sanin10","sanin11","sanin12","sanin13","sanin14","sanit01","sanit02","sanit03","sanit04","sanit05","sanit06","sanit07","sanit08","sanit09","sanit10","sanit11","sanit12","sanit13","sanit14","text_length","Sent_Score","Sentiment"
"11","Appalachian Bible College","WV","Planning for in-person","Mount Hope",1,0,1,1,9,12,1,"Raleigh",0,126,38,1657650,8258075,5413817,7317672,1051955,4733576,"Private non-profit",2334623,0,0,1,1,1,NA,1,0,243,0,13010,13010,13010,1350,1350,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,9,7,3,2,17,17,17,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,74,17,0,14,0,14,0,0,0,14,484474,0,0,0,484474,363356,25954,NA,NA,NA,34605,3,0,3,0,0,0,3,117362,0,0,0,117362,88022,29341,NA,NA,NA,39121,2,0,2,0,0,0,2,78192,0,0,0,78192,58644,29322,NA,NA,NA,39096,1,0,1,0,0,0,1,42000,0,0,0,42000,31500,31500,NA,NA,NA,42000,8,0,8,0,0,0,8,246920,0,0,0,246920,185190,23149,NA,NA,NA,30865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0,0,2,14,0,0,3,0,2,0,9,3,0,1027039,0,0,64180,582773,0,0,61779,0,52200,0,183177,82930,0,521,0.34,"Positive"
"12","Appalachian State University","NC","Planning for in-person","Boone",0,0,1,1,7,14,0,"Watauga",3,16154,3440,122373964,413830122,472303135,679441450,126662698,834352326,"Public",NA,0,0,1,1,1,4,1,0,5674,1,4242,4242,4242,4839,4839,18271,19108,17381,1727,17291,16421,870,1817,960,857,37,10,1056,493,483,563,2750,2685,2680,65,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25616,859,15,0,1010,0,1010,988,1,5,16,75762525,74219647,51157,360841,1130880,75409016,74662,75121,51157,72168,70680,318,0,318,314,0,1,3,30874846,30500983,0,100900,272963,30788241,96818,97137,NA,100900,90988,226,0,226,226,0,0,0,17783163,17783163,0,0,0,17783163,78687,78687,NA,NA,NA,200,0,200,198,0,0,2,13980193,13864093,0,0,116100,13951168,69756,70021,NA,NA,58050,7,0,7,6,0,0,1,488377,424084,0,0,64293,472304,67472,70681,NA,NA,64293,196,0,196,190,0,3,3,9255754,8904919,0,178933,171902,9180213,46838,46868,NA,59644,57301,63,0,63,54,1,1,7,3380192,2742405,51157,81008,505622,3233927,51332,50785,51157,81008,72232,1773,2,0,203,108,106,160,200,48,337,43,409,146,11,96378415,80000,0,11479499,13169805,6997591,11465569,12446348,3267609,11834621,1427030,16490661,7320161,399521,5512,0.9982,"Positive"
"13","Arizona State University-Tempe","AZ","Planning for in-person","Tempe",0,0,1,1,1,14,0,"Maricopa",4,26869,8809,720565000,2520707000,2583781000,2872684000,1323268000,4069615000,"Public",NA,0,1,1,1,1,5,1,0,15779,1,10104,10104,10104,11406,11406,25160,51585,42844,8741,46180,39396,6784,5405,3448,1957,58,333,268,0,0,268,23569,22970,22856,599,52,19,9551,5223,248,1387,929,2927,1091,373,1181,420,76,42,94,654,26,0,17763,857,8896,403,2121,0,2121,1961,0,0,160,224077021,203597493,0,0,20479528,218957139,103233,103823,NA,NA,127997,632,0,632,571,0,0,61,96568307,83873365,0,0,12694942,93394572,147776,146889,NA,NA,208114,502,0,502,478,0,0,24,53864334,51369983,0,0,2494351,53240746,106057,107469,NA,NA,103931,479,0,479,439,0,0,40,43134994,40317904,0,0,2817090,42430722,88582,91840,NA,NA,70427,196,0,196,186,0,0,10,9398145,8837856,0,0,560289,9258073,47235,47515,NA,NA,56029,308,0,308,287,0,0,21,20699361,19198385,0,0,1500976,20324117,65987,66893,NA,NA,71475,4,0,4,0,0,0,4,411880,0,0,0,411880,308910,77228,NA,NA,NA,102970,6249,99,2,277,1345,1038,1359,772,63,207,25,835,177,50,412583595,10267197,445000,15686028,146872943,54760801,82764701,42152666,4810160,8877363,1083629,35119573,7867490,1876044,1658,0.9783,"Positive"
"14","Arkansas State University-Main Campus","AR","Planning for in-person","Jonesboro",0,0,1,1,2,8,0,"Craighead",3,5253,1525,76077030,216536595,214028272,219405505,51784446,455697829,"Public",NA,0,1,1,1,1,4,1,0,3718,1,6300,6300,6300,4806,4806,9612,13709,9350,4359,7456,6789,667,6253,2561,3692,33,27,4220,961,928,3259,3494,3373,3307,121,22,18,1744,706,33,221,146,690,240,97,165,0,0,0,0,165,2,1,6538,125,203,0,525,0,525,441,0,0,84,34353567,27651268,0,0,6702299,32677992,62244,62701,NA,NA,79789,106,0,106,88,0,0,18,9652076,7649809,0,0,2002267,9151509,86335,86930,NA,NA,111237,127,0,127,110,0,0,17,9197089,7686368,0,0,1510721,8819409,69444,69876,NA,NA,88866,142,0,142,123,0,0,19,8729328,7310938,0,0,1418390,8374731,58977,59439,NA,NA,74652,150,0,150,120,0,0,30,6775074,5004153,0,0,1770921,6332344,42216,41701,NA,NA,59031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054,0,0,64,221,269,67,74,11,102,1,146,94,5,43020366,0,0,1699562,14575796,10698527,2904577,4012890,382755,2216964,31327,3563306,2772831,161831,6970,0.9983,"Positive"
"15","Arkansas Tech University","AR","Planning for in-person","Russellville",0,0,1,1,8,9,1,"Pope",3,5122,1633,37449458,136295699,142861585,116553045,41506770,233247144,"Public",NA,0,1,1,1,1,5,1,0,2568,1,5424,5424,5424,5112,5112,10224,12101,11151,950,6583,6396,187,5518,4755,763,18,11,2845,2311,1119,534,2734,2564,2516,170,24,18,1181,507,41,65,151,386,164,95,249,246,0,1,3,0,0,0,6538,125,129,1,372,0,372,349,0,0,23,23349077,21087590,0,0,2261487,22783705,61247,60423,NA,NA,98326,80,0,80,65,0,0,15,6919904,5269697,0,0,1650207,6507352,81342,81072,NA,NA,110014,82,0,82,75,0,0,7,5630431,5051750,0,0,578681,5485761,66900,67357,NA,NA,82669,102,0,102,102,0,0,0,5955851,5955851,0,0,0,5955851,58391,58391,NA,NA,NA,44,0,44,44,0,0,0,2036612,2036612,0,0,0,2036612,46287,46287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,0,64,63,0,0,1,2806279,2773680,0,0,32599,2798129,43721,44027,NA,NA,32599,560,0,0,48,64,42,44,70,7,110,1,148,26,0,24994920,0,0,2314192,6585993,2179712,2123600,3287788,401803,2807009,31198,4463709,799916,0,2003,-0.8968,"Negative"
"16","Asbury University","KY","Planning for in-person","Wilmore",1,0,1,1,6,12,1,"Jessamine",1,1366,273,49116604,38108985,40227910,15056566,23403474,123160613,"Private non-profit",4928588,0,0,1,1,1,NA,1,0,1181,0,29900,29900,29900,9990,9990,9990,1940,1697,243,1316,1291,25,624,406,218,29,16,683,451,443,232,141,141,113,0,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9510,424,56,0,93,0,93,87,6,0,0,5543425,5090734,452691,0,0,5498156,59120,58514,75449,NA,NA,33,0,33,30,3,0,0,2143083,1900063,243020,0,0,2118781,64205,63335,81007,NA,NA,26,0,26,24,2,0,0,1565926,1427650,138276,0,0,1552098,59696,59485,69138,NA,NA,33,0,33,32,1,0,0,1790891,1719496,71395,0,0,1783752,54053,53734,71395,NA,NA,1,0,1,1,0,0,0,43525,43525,0,0,0,43525,43525,43525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,0,0,11,41,10,17,38,3,31,1,51,11,0,8976990,0,0,507561,2843797,489989,806149,1539585,98286,818935,25314,1441753,405621,0,1582,0.9375,"Positive"
"17","Assumption College","MA","Considering a range of scenarios","Worcester",1,0,1,1,1,11,1,"Worcester",1,4178,553,108439232,67709850,68162283,61037046,37010215,180148696,"Private non-profit",1304258,0,0,1,1,1,13,1,0,1859,1,40208,40208,40208,12438,12438,12438,2428,2036,392,2110,1930,180,318,106,212,21,5,161,84,76,77,111,23,23,88,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94895,6640,10713,738,139,0,139,134,0,0,5,10768666,10305232,0,0,463434,10652808,76639,76905,NA,NA,92687,22,0,22,21,0,0,1,2174414,2071380,0,0,103034,2148656,97666,98637,NA,NA,103034,63,0,63,62,0,0,1,5043848,4941848,0,0,102000,5018348,79656,79707,NA,NA,102000,43,0,43,40,0,0,3,2911703,2653303,0,0,258400,2847103,66212,66333,NA,NA,86133,11,0,11,11,0,0,0,638701,638701,0,0,0,638701,58064,58064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,0,0,11,56,3,4,35,5,25,1,38,0,0,11264042,0,0,578735,5359962,272790,220201,1968670,231973,1064192,38984,1528535,0,0,NA,NA,NA
"18","Auburn University","AL","Planning for in-person","Auburn",0,0,1,1,2,13,0,"Lee",4,20742,4744,771403829,1102264664,1176700366,2325120795,456313408,3396641772,"Public",NA,0,0,1,1,1,7,1,0,4768,1,9624,9624,9624,9630,9630,28890,30440,24628,5812,25806,22460,3346,4634,2168,2466,47,24,1508,303,302,1205,5589,5197,5196,392,65,19,6608,2689,121,514,968,1742,818,342,1422,309,55,2,360,252,19,1,16530,591,533,32,1375,0,1375,1005,0,0,370,140619248,91957194,0,0,48662054,128453735,93421,91500,NA,NA,131519,407,0,407,253,0,0,154,58610687,33077633,0,0,25533054,52227424,128323,130742,NA,NA,165799,385,0,385,280,0,0,105,38929204,26534334,0,0,12394870,35830487,93066,94765,NA,NA,118046,358,0,358,263,0,0,95,30990941,21479051,0,0,9511890,28612969,79924,81669,NA,NA,100125,81,0,81,77,0,0,4,3725120,3450120,0,0,275000,3656370,45140,44807,NA,NA,68750,136,0,136,124,0,0,12,8071886,7124646,0,0,947240,7835076,57611,57457,NA,NA,78937,8,0,8,8,0,0,0,291410,291410,0,0,0,291410,36426,36426,NA,NA,NA,3811,27,242,124,512,375,587,597,31,330,3,608,324,51,242232609,2254101,15686160,7654158,63703817,23207836,34972317,37931248,2754250,12160444,130410,23890834,15607931,2279103,542,0.6872,"Positive"
"19","Augustana College","IL","Planning for in-person","Rock Island",1,1,1,1,2,11,1,"Rock Island",1,6211,630,168133807,77400098,90822188,68022998,44020154,292850317,"Private non-profit",10106946,2,0,1,NA,1,8,1,0,1916,0,40881,40881,40881,NA,NA,NA,2543,2543,NA,2534,2534,NA,9,9,NA,22,64,0,0,0,NA,0,0,0,NA,0,12,692,230,7,93,73,272,112,36,156,64,0,3,13,66,0,0,116128,5225,686,26,195,0,195,194,0,0,1,13609438,13524470,0,0,84968,13588196,69683,69714,NA,NA,84968,61,0,61,61,0,0,0,5539340,5539340,0,0,0,5539340,90809,90809,NA,NA,NA,47,0,47,47,0,0,0,3318768,3318768,0,0,0,3318768,70612,70612,NA,NA,NA,36,0,36,35,0,0,1,2301660,2216692,0,0,84968,2280418,63345,63334,NA,NA,84968,44,0,44,44,0,0,0,2092890,2092890,0,0,0,2092890,47566,47566,NA,NA,NA,7,0,7,7,0,0,0,356780,356780,0,0,0,356780,50969,50969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,0,0,16,90,2,15,50,4,90,0,60,13,1,16808270,0,0,749852,6696355,118655,818443,3057457,192407,2562638,0,1999008,581069,32386,6368,0.9991,"Positive"
"20","Augustana University","SD","Planning for in-person","Sioux Falls",1,0,1,1,1,13,0,"Minnehaha",1,2201,455,82070752,53099998,59806118,39597650,26346392,139091244,"Private non-profit",10578941,3,0,1,1,1,NA,1,0,1369,0,32488,32488,32488,34000,34000,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,36,274,0,0,274,0,0,0,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4793,54,3317,45,145,1,144,136,5,1,2,9025450,8425828,286480,80753,232389,8924008,61972,61955,57296,80753,116195,33,1,32,32,0,0,0,2393466,2393466,0,0,0,2393466,74796,74796,NA,NA,NA,39,0,39,36,0,1,2,2554907,2241765,0,80753,232389,2482113,63644,62271,NA,80753,116195,61,0,61,57,4,0,0,3472867,3235440,237427,0,0,3449124,56543,56762,59357,NA,NA,12,0,12,11,1,0,0,604210,555157,49053,0,0,599305,49942,50469,49053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,0,6,15,55,7,14,36,3,48,0,37,11,1,11373999,0,266289,588915,4022784,525230,776359,1827474,118062,1345862,0,1405710,467753,29561,3249,0.9947,"Positive"
"21","Austin Peay State University","TN","Planning for in-person","Clarksville",0,0,1,1,1,8,1,"Montgomery",3,7722,1819,26466248,161870733,167044476,143902274,51848047,310030994,"Public",NA,0,1,1,1,1,5,1,0,1803,0,6576,6576,6576,7920,7920,20502,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,4,1937,1324,1179,613,4081,3858,3780,223,146,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21763,356,261,3,371,0,371,366,0,0,5,26863201,26437232,0,0,425969,26756709,72121,72233,NA,NA,85194,149,0,149,146,0,0,3,12934572,12636453,0,0,298119,12860042,86309,86551,NA,NA,99373,103,0,103,103,0,0,0,7178915,7178915,0,0,0,7178915,69698,69698,NA,NA,NA,84,0,84,83,0,0,1,5109407,5025557,0,0,83850,5088445,60577,60549,NA,NA,83850,35,0,35,34,0,0,1,1640307,1596307,0,0,44000,1629307,46552,46950,NA,NA,44000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627,0,0,56,35,14,22,242,16,58,1,149,33,1,32925621,0,0,2927653,4769274,878530,986070,13268234,715369,2260212,48313,5652737,1377680,41549,2738,-0.8941,"Negative"
"22","Averett University","VA","Planning for in-person","Danville",1,1,1,1,7,10,0,"Danville City",0,2833,292,25779860,26844368,30735514,21224579,14601330,51580041,"Private non-profit",6743293,0,0,1,NA,1,7,1,0,617,1,34400,34400,34400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,23,3,3,3,NA,225,225,225,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41401,1338,50,2,53,0,53,52,1,0,0,2907046,2829016,78030,0,0,2899243,54703,54404,78030,NA,NA,16,0,16,15,1,0,0,997373,919343,78030,0,0,989570,61848,61290,78030,NA,NA,15,0,15,15,0,0,0,830169,830169,0,0,0,830169,55345,55345,NA,NA,NA,18,0,18,18,0,0,0,918344,918344,0,0,0,918344,51019,51019,NA,NA,NA,4,0,4,4,0,0,0,161160,161160,0,0,0,161160,40290,40290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,0,0,18,26,17,14,25,3,5,0,18,7,0,6356788,0,0,724981,2341177,744185,582054,926303,95576,161680,0,531555,249277,0,660,-0.2997,"Negative"
"23","Avila University","MO","Planning for in-person","Kansas City",1,0,1,1,0,12,1,"Jackson",1,2623,168,10761813,29220242,29781964,21541277,20471844,33755725,"Private non-profit",3682220,0,1,1,1,1,NA,1,0,351,0,19900,19900,19900,6734,6734,6734,1649,1246,403,1341,1042,299,308,204,104,20,5,128,89,89,39,287,228,228,59,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12815,715,554,17,72,0,72,66,1,1,4,4260387,3918904,43909,64000,233574,4185955,58138,59377,43909,64000,58394,12,0,12,12,0,0,0,804952,804952,0,0,0,804952,67079,67079,NA,NA,NA,17,0,17,16,0,0,1,1234042,1154772,0,0,79270,1214225,71425,72173,NA,NA,79270,32,0,32,29,1,1,1,1674060,1490505,43909,64000,75646,1639110,51222,51397,43909,64000,75646,8,0,8,7,0,0,1,403061,362675,0,0,40386,392965,49121,51811,NA,NA,40386,1,0,1,0,0,0,1,38272,0,0,0,38272,28704,28704,NA,NA,NA,38272,2,0,2,2,0,0,0,106000,106000,0,0,0,106000,53000,53000,NA,NA,NA,130,0,0,33,31,9,6,19,1,10,0,21,0,0,6882604,0,0,1289214,2645112,662000,314355,767340,41600,402375,0,760608,0,0,6246,0.9877,"Positive"
"24","Azusa Pacific University","CA","Planning for in-person","Azusa",1,0,1,1,3,12,1,"Los Angeles",3,9832,1107,86913981,260675670,243135403,186530797,182135093,164869368,"Private non-profit",12681509,0,0,1,1,1,NA,1,0,3103,1,38300,38300,38300,17112,17112,17112,10095,5657,4438,7194,5003,2191,2901,654,2247,34,NA,2345,575,575,1770,1321,701,701,620,9,11,2312,559,17,378,390,1237,NA,NA,859,60,8,19,40,737,NA,NA,104071,4042,49774,2241,506,6,500,140,240,9,111,46636073,13255952,22246961,726079,10407081,41677460,83355,94685,92696,80675,93757,141,1,140,34,68,1,37,15168447,3770804,7159561,93068,4145014,13399299,95709,110906,105288,93068,112027,118,0,118,36,58,4,20,10830458,3364071,5328087,330434,1807866,9785544,82928,93446,91864,82609,90393,205,3,202,57,99,4,42,17471583,4979561,8552299,302577,3637146,15651998,77485,87361,86387,75644,86599,24,0,24,10,10,0,4,1985841,880141,779315,0,326385,1826313,76096,88014,77932,NA,81596,1,0,1,0,1,0,0,64250,0,64250,0,0,57825,57825,NA,64250,NA,NA,17,2,15,3,4,0,8,1115494,261375,363449,0,490670,956482,63765,87125,90862,NA,61334,947,0,0,9,359,47,56,15,7,45,0,350,53,6,57790487,0,0,567225,28574292,2797505,3653573,1044581,605014,1702204,0,16346438,2261815,237840,5755,0.9867,"Positive"
"25","Babson College","MA","Considering a range of scenarios","Babson Park",1,0,1,1,3,13,1,"Norfolk",1,6383,539,421920139,207437927,274120216,250341925,127425725,541775815,"Private non-profit",45606802,0,0,1,1,1,8,1,0,1890,1,51104,51104,51104,82496,82496,82496,3357,2361,996,2905,2361,544,452,NA,452,38,125,3,0,0,3,47,0,0,47,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94895,6640,7919,799,196,0,196,196,0,0,0,28714305,28714305,0,0,0,28714305,146502,146502,NA,NA,NA,58,0,58,58,0,0,0,10803535,10803535,0,0,0,10803535,186268,186268,NA,NA,NA,55,0,55,55,0,0,0,8023800,8023800,0,0,0,8023800,145887,145887,NA,NA,NA,37,0,37,37,0,0,0,4925291,4925291,0,0,0,4925291,133116,133116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,0,46,46,0,0,0,4961679,4961679,0,0,0,4961679,107863,107863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653,0,0,52,82,122,59,114,6,72,0,109,37,0,57214594,0,0,4097260,14415440,11821911,6020492,8383423,361032,3736686,0,5929344,2449006,0,2201,0.9921,"Positive"
"26","Ball State University","IN","Planning for in-person","Muncie",0,0,1,1,2,11,1,"Delaware",4,23988,3675,214258093,493207114,525882434,476308865,171155810,1173958338,"Public",NA,0,1,1,1,1,4,1,0,6646,0,9234,9234,9234,8730,8730,21666,21884,16160,5724,15926,14731,1195,5958,1429,4529,37,1,5037,785,758,4252,4802,4455,4435,347,12,16,3580,878,143,230,526,1343,475,228,405,5,0,1,26,255,1,0,33885,2068,377,37,1046,0,1046,999,0,0,47,71796247,65803906,0,0,5992341,70298162,67207,65870,NA,NA,127497,224,0,224,190,0,0,34,22190937,17761062,0,0,4429875,21083468,94123,93479,NA,NA,130290,225,0,225,212,0,0,13,17493123,15930657,0,0,1562466,17102507,76011,75145,NA,NA,120190,393,0,393,393,0,0,0,22242468,22242468,0,0,0,22242468,56597,56597,NA,NA,NA,18,0,18,18,0,0,0,687031,687031,0,0,0,687031,38168,38168,NA,NA,NA,180,0,180,180,0,0,0,8951567,8951567,0,0,0,8951567,49731,49731,NA,NA,NA,6,0,6,6,0,0,0,231121,231121,0,0,0,231121,38520,38520,NA,NA,NA,2129,0,0,198,229,175,169,135,9,528,0,500,145,41,114288301,0,0,11264482,21603265,11859426,11045507,9582239,648734,19153792,0,18868474,8588948,1673434,1298,0.9147,"Positive"
"27","Bard College","NY","Planning for in-person","Annandale-On-Hudson",1,0,1,1,6,11,1,"Dutchess",1,5141,486,148116873,172597801,165238775,227769933,54086650,286021798,"Private non-profit",65370763,0,0,0,0,0,17,1,0,1400,1,54210,54210,54210,35972,35972,35972,2207,1882,325,2121,1820,301,86,62,24,37,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371559,29438,3867,146,203,0,203,203,0,0,0,20526933,20526933,0,0,0,20526933,101118,101118,NA,NA,NA,61,0,61,61,0,0,0,8122373,8122373,0,0,0,8122373,133154,133154,NA,NA,NA,68,0,68,68,0,0,0,6592448,6592448,0,0,0,6592448,96948,96948,NA,NA,NA,74,0,74,74,0,0,0,5812112,5812112,0,0,0,5812112,78542,78542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595,9,0,140,56,53,25,66,8,63,0,68,102,5,38449359,638344,0,8809734,7320147,3400907,1577882,3818349,569900,3113019,0,3405467,5563986,231624,1702,0.9611,"Positive"
"28","Barnard College","NY","Considering a range of scenarios","New York",1,1,1,1,0,13,1,"New York",1,7897,602,345097000,165982000,191433000,222549000,91172000,515312000,"Private non-profit",27267000,0,0,0,NA,0,19,1,0,2280,0,53252,53252,53252,NA,NA,NA,2562,2562,NA,2519,2519,NA,43,43,NA,47,66,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371559,29438,NA,NA,239,0,239,239,0,0,0,29767426,29767426,0,0,0,29767426,124550,124550,NA,NA,NA,91,0,91,91,0,0,0,16003939,16003939,0,0,0,16003939,175867,175867,NA,NA,NA,34,0,34,34,0,0,0,4301002,4301002,0,0,0,4301002,126500,126500,NA,NA,NA,42,0,42,42,0,0,0,3856710,3856710,0,0,0,3856710,91826,91826,NA,NA,NA,43,0,43,43,0,0,0,3073809,3073809,0,0,0,3073809,71484,71484,NA,NA,NA,29,0,29,29,0,0,0,2531966,2531966,0,0,0,2531966,87309,87309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532,1,0,65,84,34,28,52,4,138,1,103,22,0,40275780,47300,0,4343184,11347637,2865131,2303132,4334337,340148,7343373,59641,5643130,1648767,0,4707,0.9989,"Positive"
